date,snow_day,snowfall_overnight,snowfall_24h,precipitation_overnight,precipitation_24h,no_snowfall_penalty,freezing_rain,temp_min_overnight,wind_speed_avg_overnight,wind_gusts_max_overnight,dewpoint_avg_overnight,humidity_avg_overnight,temperature0,precipitation0,snowfall0,snow_depth0,wind_speed0,wind_gusts0,weather_code0,temperature1,precipitation1,snowfall1,snow_depth1,wind_speed1,wind_gusts1,weather_code1,temperature2,precipitation2,snowfall2,snow_depth2,wind_speed2,wind_gusts2,weather_code2,temperature3,precipitation3,snowfall3,snow_depth3,wind_speed3,wind_gusts3,weather_code3,temperature4,precipitation4,snowfall4,snow_depth4,wind_speed4,wind_gusts4,weather_code4,temperature5,precipitation5,snowfall5,snow_depth5,wind_speed5,wind_gusts5,weather_code5,temperature6,precipitation6,snowfall6,snow_depth6,wind_speed6,wind_gusts6,weather_code6,temperature7,precipitation7,snowfall7,snow_depth7,wind_speed7,wind_gusts7,weather_code7
2024-11-01,0,0.0,0.0,0.2,1.2,2,False,4.8,51.35,76.7,4.7125,72.75,11.3,0.0,0.0,0.0,49.5,66.2,3,10.5,0.0,0.0,0.0,52.7,70.2,3,9.6,0.0,0.0,0.0,53.0,76.7,3,9.3,0.0,0.0,0.0,48.3,73.4,2,9.3,0.0,0.0,0.0,53.6,75.2,2,9.0,0.0,0.0,0.0,53.3,74.9,3,8.4,0.0,0.0,0.0,50.8,76.0,3,7.6,0.2,0.0,0.0,49.6,69.5,51
2024-11-04,0,0.0,0.0,7.0,22.7,2,False,9.8,30.55,58.3,5.7875,73.75,9.9,0.1,0.0,0.0,38.3,58.3,51,10.2,0.0,0.0,0.0,36.3,51.5,3,10.6,0.3,0.0,0.0,22.3,48.6,51,10.3,1.9,0.0,0.0,38.1,47.9,61,10.0,0.9,0.0,0.0,36.1,49.7,53,9.8,1.2,0.0,0.0,26.1,50.4,55,10.2,1.9,0.0,0.0,15.6,33.8,61,11.0,0.7,0.0,0.0,31.6,40.0,53
2024-11-05,0,0.0,0.0,7.0,10.5,2,False,12.7,36.225,51.1,11.9,92.5,13.1,0.0,0.0,0.0,35.8,51.1,3,13.4,0.0,0.0,0.0,37.9,48.2,3,13.5,0.0,0.0,0.0,36.7,49.0,3,13.4,0.2,0.0,0.0,34.4,46.8,51,13.0,0.8,0.0,0.0,33.9,43.6,53,12.9,1.4,0.0,0.0,35.8,51.1,61,12.7,2.2,0.0,0.0,38.1,48.6,61,12.9,2.4,0.0,0.0,37.2,49.0,61
2024-11-06,0,0.0,0.0,4.7,4.7,2,False,8.5,36.0625,68.0,11.45,90.25,14.6,2.1,0.0,0.0,45.6,60.8,61,14.2,2.5,0.0,0.0,42.5,68.0,63,13.5,0.1,0.0,0.0,38.0,55.8,51,13.0,0.0,0.0,0.0,35.6,49.0,3,12.7,0.0,0.0,0.0,34.6,45.4,1,12.3,0.0,0.0,0.0,33.5,43.6,2,12.1,0.0,0.0,0.0,31.7,41.8,0,11.8,0.0,0.0,0.0,27.0,39.6,1
2024-11-07,0,0.0,0.0,0.0,0.0,2,False,7.6,20.6375,32.0,3.9875,75.375,8.4,0.0,0.0,0.0,21.7,32.0,3,8.4,0.0,0.0,0.0,19.6,28.8,3,8.4,0.0,0.0,0.0,19.8,26.6,3,8.2,0.0,0.0,0.0,20.8,28.1,1,8.0,0.0,0.0,0.0,21.7,29.2,2,7.8,0.0,0.0,0.0,21.3,29.5,2,7.6,0.0,0.0,0.0,19.8,28.8,3,7.7,0.0,0.0,0.0,20.4,27.7,0
2024-11-08,0,0.0,0.0,0.0,0.0,2,False,6.2,40.2625,56.5,4.1125,69.875,9.5,0.0,0.0,0.0,41.5,55.4,0,9.5,0.0,0.0,0.0,40.1,55.8,0,9.6,0.0,0.0,0.0,40.5,53.6,0,9.7,0.0,0.0,0.0,42.5,56.2,1,9.5,0.0,0.0,0.0,40.5,56.5,0,9.3,0.0,0.0,0.0,40.2,54.0,0,9.0,0.0,0.0,0.0,39.2,53.3,0,8.8,0.0,0.0,0.0,37.6,51.8,0
2024-11-11,0,0.0,0.0,0.8,2.8,2,False,4.9,41.875,64.1,7.2,85.25,10.2,0.0,0.0,0.0,39.4,51.5,1,9.8,0.1,0.0,0.0,46.1,59.8,51,9.5,0.1,0.0,0.0,42.4,64.1,51,9.5,0.0,0.0,0.0,41.0,60.1,3,9.3,0.2,0.0,0.0,43.6,62.3,51,9.3,0.2,0.0,0.0,41.7,58.3,51,9.4,0.1,0.0,0.0,41.0,54.7,51,9.4,0.1,0.0,0.0,39.8,54.0,51
2024-11-12,0,0.0,0.0,0.0,0.0,2,False,3.4,35.6,62.6,-0.65,71.0,4.8,0.0,0.0,0.0,44.9,62.6,3,4.7,0.0,0.0,0.0,43.4,61.9,3,4.5,0.0,0.0,0.0,40.0,59.4,3,4.3,0.0,0.0,0.0,35.9,54.7,3,4.1,0.0,0.0,0.0,32.5,49.0,3,3.8,0.0,0.0,0.0,30.3,44.3,3,3.7,0.0,0.0,0.0,29.4,41.4,2,3.6,0.0,0.0,0.0,28.4,40.7,2
2024-11-13,0,0.0,0.0,0.0,0.0,2,False,3.7,25.4,38.5,-0.425,73.125,4.2,0.0,0.0,0.0,22.4,31.3,0,4.0,0.0,0.0,0.0,24.8,34.9,0,3.9,0.0,0.0,0.0,24.5,35.3,0,3.7,0.0,0.0,0.0,25.6,36.4,0,3.7,0.0,0.0,0.0,25.7,37.1,0,3.9,0.0,0.0,0.0,26.1,37.1,0,4.2,0.0,0.0,0.0,26.3,37.4,0,4.1,0.0,0.0,0.0,27.8,38.5,0
2024-11-14,0,0.0,0.0,0.0,2.8,2,False,6.2,31.425,43.9,0.9,62.875,7.4,0.0,0.0,0.0,31.6,42.1,3,7.5,0.0,0.0,0.0,32.8,43.9,3,7.6,0.0,0.0,0.0,31.7,43.9,3,7.7,0.0,0.0,0.0,29.4,42.5,3,7.6,0.0,0.0,0.0,30.5,40.0,3,7.6,0.0,0.0,0.0,32.1,42.5,3,7.5,0.0,0.0,0.0,31.6,42.8,3,7.5,0.0,0.0,0.0,31.7,42.1,3
