date,snow_day,snowfall_last_24h,snowfall_last_12h,snowfall_overnight,snowfall_24h,precipitation_overnight,precipitation_24h,no_snowfall_penalty,freezing_rain,temp_min_overnight,wind_speed_avg_overnight,wind_gusts_max_overnight,dewpoint_avg_overnight,temperature0,precipitation0,snowfall0,snow_depth0,wind_speed0,wind_gusts0,weather_code0,blowing_snow_risk0,temperature1,precipitation1,snowfall1,snow_depth1,wind_speed1,wind_gusts1,weather_code1,blowing_snow_risk1,temperature2,precipitation2,snowfall2,snow_depth2,wind_speed2,wind_gusts2,weather_code2,blowing_snow_risk2,temperature3,precipitation3,snowfall3,snow_depth3,wind_speed3,wind_gusts3,weather_code3,blowing_snow_risk3,temperature4,precipitation4,snowfall4,snow_depth4,wind_speed4,wind_gusts4,weather_code4,blowing_snow_risk4,temperature5,precipitation5,snowfall5,snow_depth5,wind_speed5,wind_gusts5,weather_code5,blowing_snow_risk5,temperature6,precipitation6,snowfall6,snow_depth6,wind_speed6,wind_gusts6,weather_code6,blowing_snow_risk6,temperature7,precipitation7,snowfall7,snow_depth7,wind_speed7,wind_gusts7,weather_code7,blowing_snow_risk7
2024-11-15,0,0.0,0.0,0.0,0.0,0.0,0.2,2,False,6.4,14.9625,38.5,4.2625,6.4,0.0,0.0,0.0,20.6,32.8,3,0.0,6.5,0.0,0.0,0.0,18.6,28.4,3,0.0,6.5,0.0,0.0,0.0,15.6,25.9,3,0.0,6.6,0.0,0.0,0.0,13.2,22.0,3,0.0,6.6,0.0,0.0,0.0,12.7,19.1,3,0.0,6.7,0.0,0.0,0.0,11.5,18.4,3,0.0,6.7,0.0,0.0,0.0,12.9,18.4,3,0.0,6.7,0.0,0.0,0.0,14.6,20.5,3,0.0
2024-11-18,0,0.0,0.0,0.0,0.0,0.0,0.0,2,False,6.8,26.7125,41.4,5.699999999999999,9.2,0.0,0.0,0.0,30.4,41.4,0,0.0,9.0,0.0,0.0,0.0,29.0,39.2,0,0.0,8.8,0.0,0.0,0.0,27.6,37.1,0,0.0,8.6,0.0,0.0,0.0,25.3,35.3,0,0.0,8.3,0.0,0.0,0.0,24.6,32.4,0,0.0,8.2,0.0,0.0,0.0,25.0,32.4,0,0.0,8.0,0.0,0.0,0.0,25.9,33.5,0,0.0,7.8,0.0,0.0,0.0,25.9,34.2,0,0.0
2024-11-19,0,0.0,0.0,0.0,0.0,0.0,5.2,2,False,6.4,27.475,49.0,3.675,7.1,0.0,0.0,0.0,18.5,24.1,3,0.0,6.9,0.0,0.0,0.0,26.2,33.1,3,0.0,6.8,0.0,0.0,0.0,29.5,39.2,3,0.0,6.7,0.0,0.0,0.0,27.7,40.0,3,0.0,6.4,0.0,0.0,0.0,27.7,38.2,3,0.0,6.6,0.0,0.0,0.0,28.7,38.9,3,0.0,6.7,0.0,0.0,0.0,29.8,40.3,3,0.0,6.9,0.0,0.0,0.0,31.7,42.5,3,0.0
2024-11-20,0,0.0,0.0,0.0,0.0,0.2,15.3,2,False,4.9,13.4125,79.6,8.3625,9.2,0.0,0.0,0.0,24.5,36.7,3,0.0,9.3,0.0,0.0,0.0,20.8,31.0,3,0.0,9.5,0.1,0.0,0.0,16.0,25.9,51,0.0,9.5,0.1,0.0,0.0,12.7,19.4,51,0.0,9.3,0.0,0.0,0.0,10.8,15.1,3,0.0,9.1,0.0,0.0,0.0,8.6,12.6,3,0.0,8.9,0.0,0.0,0.0,7.6,10.1,3,0.0,8.7,0.0,0.0,0.0,6.3,9.0,3,0.0
2024-11-21,0,0.0,0.0,0.0,0.14,1.6,3.2,1,False,3.4,32.45,62.3,1.0625,5.4,0.2,0.0,0.0,42.3,62.3,51,0.0,5.6,0.1,0.0,0.0,39.4,58.3,51,0.0,4.9,0.1,0.0,0.0,33.4,54.0,51,0.0,4.8,0.3,0.0,0.0,33.7,46.1,51,0.0,4.7,0.3,0.0,0.0,33.7,46.1,51,0.0,4.6,0.1,0.0,0.0,30.3,45.7,51,0.0,4.2,0.2,0.0,0.0,25.7,41.4,51,0.0,4.0,0.3,0.0,0.0,21.1,35.6,51,0.0
2024-11-22,0,0.14,0.0,0.0,0.0,1.6,5.5,2,False,5.8,34.9375,61.9,3.1875,6.0,0.1,0.0,0.0,25.8,35.3,51,0.0,5.8,0.2,0.0,0.0,29.2,39.2,51,0.0,6.4,0.1,0.0,0.0,33.8,45.0,51,0.0,6.2,0.1,0.0,0.0,33.8,47.9,51,0.0,6.7,0.1,0.0,0.0,32.9,46.1,51,0.0,6.6,0.2,0.0,0.0,39.3,52.9,51,0.0,6.4,0.3,0.0,0.0,42.3,56.5,51,0.0,6.7,0.5,0.0,0.0,42.4,57.6,53,0.0
2024-11-25,0,0.0,0.0,0.0,0.0,0.0,3.9,2,False,3.1,11.9875,44.6,-2.4625,3.1,0.0,0.0,0.0,3.9,12.6,3,0.0,3.2,0.0,0.0,0.0,5.2,11.5,3,0.0,3.2,0.0,0.0,0.0,5.1,11.2,3,0.0,3.3,0.0,0.0,0.0,3.8,10.8,3,0.0,3.6,0.0,0.0,0.0,10.3,15.5,3,0.0,3.8,0.0,0.0,0.0,17.8,24.1,3,0.0,3.5,0.0,0.0,0.0,24.8,33.5,3,0.0,3.5,0.0,0.0,0.0,25.0,35.3,3,0.0
2024-11-26,0,0.0,0.0,0.0,0.21000000000000002,1.4000000000000001,3.1,1,True,0.8,44.525,69.1,3.8625,7.4,0.5,0.0,0.0,38.4,43.2,53,0.0,6.9,0.1,0.0,0.0,40.1,56.2,51,0.0,6.1,0.0,0.0,0.0,42.2,58.3,3,0.0,6.2,0.1,0.0,0.0,47.9,64.4,51,0.0,5.7,0.0,0.0,0.0,48.6,68.0,3,0.0,5.1,0.1,0.0,0.0,46.5,67.3,51,0.0,5.1,0.4,0.0,0.0,46.9,67.3,51,0.0,4.8,0.2,0.0,0.0,45.6,64.8,51,0.0
2024-11-27,0,0.21000000000000002,0.14,0.0,0.0,0.0,0.0,2,False,1.4,39.7625,65.2,-2.4125,1.5,0.0,0.0,0.0,46.7,64.4,3,0.0,1.5,0.0,0.0,0.0,46.5,65.2,3,0.0,1.7,0.0,0.0,0.0,44.3,64.1,3,0.0,1.9,0.0,0.0,0.0,40.1,60.8,3,0.0,1.9,0.0,0.0,0.0,37.9,55.1,3,0.0,1.6,0.0,0.0,0.0,34.8,52.2,3,0.0,1.5,0.0,0.0,0.0,33.4,48.2,2,0.0,1.6,0.0,0.0,0.0,34.4,46.8,2,0.0
2024-11-28,0,0.0,0.0,0.0,1.4700000000000002,0.0,2.1,1,False,0.3,19.2625,64.1,-4.0625,2.1,0.0,0.0,0.0,17.5,27.0,3,0.0,2.0,0.0,0.0,0.0,18.5,27.0,3,0.0,2.0,0.0,0.0,0.0,19.1,27.4,3,0.0,2.0,0.0,0.0,0.0,20.4,28.8,3,0.0,1.8,0.0,0.0,0.0,19.2,29.2,2,0.0,2.0,0.0,0.0,0.0,18.6,27.7,3,0.0,1.9,0.0,0.0,0.0,20.1,28.4,3,0.0,1.9,0.0,0.0,0.0,20.7,29.2,3,0.0
