date,snow_day,temperature0,snowfall0,windspeed0,visibility0,precip_type0,temperature1,snowfall1,windspeed1,visibility1,precip_type1,temperature2,snowfall2,windspeed2,visibility2,precip_type2,temperature3,snowfall3,windspeed3,visibility3,precip_type3,temperature4,snowfall4,windspeed4,visibility4,precip_type4,temperature5,snowfall5,windspeed5,visibility5,precip_type5,temperature6,snowfall6,windspeed6,visibility6,precip_type6,temperature7,snowfall7,windspeed7,visibility7,precip_type7
2025-11-17,0,2.0,0.07,43.8,0,0,2.2,0.07,43.4,0,0,2.5,0.07,46.4,0,0,2.5,0.0,45.5,0,0,2.6,0.14,43.1,0,0,2.3,0.0,44.4,0,0,1.9,0.0,43.9,0,0,2.0,0.0,45.2,0,0
2025-11-18,0,2.5,0.0,22.9,0,0,2.2,0.0,21.9,0,0,2.1,0.0,21.3,0,0,2.1,0.0,20.9,0,0,2.0,0.0,19.4,0,0,2.1,0.0,19.9,0,0,2.1,0.0,20.5,0,0,1.9,0.0,18.7,0,0
2025-11-19,0,2.9,0.0,17.8,0,0,2.7,0.0,15.0,0,0,2.8,0.0,16.9,0,0,2.8,0.0,16.2,0,0,2.8,0.0,16.5,0,0,2.7,0.0,16.9,0,0,2.6,0.0,14.9,0,0,2.7,0.0,11.3,0,0
2025-11-20,0,3.1,0.0,7.4,0,0,3.1,0.0,8.7,0,0,3.4,0.0,10.2,0,0,3.7,0.0,11.3,0,0,4.1,0.0,13.0,0,0,4.4,0.0,13.3,0,0,4.7,0.0,14.9,0,0,4.6,0.0,20.7,0,0
2025-11-21,0,6.4,0.0,43.7,0,0,6.7,0.0,35.3,0,0,6.6,0.0,33.0,0,0,6.8,0.0,34.0,0,0,6.8,0.0,35.5,0,0,6.7,0.0,32.3,0,0,6.1,0.0,30.9,0,0,6.2,0.0,33.8,0,0
2025-11-24,0,4.6,0.0,27.1,0,0,4.0,0.0,23.1,0,0,3.9,0.0,20.5,0,0,3.7,0.0,16.3,0,0,3.5,0.0,9.0,0,0,3.4,0.0,5.6,0,0,3.7,0.0,19.5,0,0,4.2,0.0,19.4,0,0
2025-11-25,0,6.7,0.0,32.4,0,0,6.8,0.0,30.6,0,0,6.8,0.0,26.8,0,0,6.7,0.0,23.2,0,0,6.5,0.0,17.1,0,0,6.5,0.0,18.3,0,0,6.7,0.0,17.9,0,0,6.9,0.0,18.2,0,0
2025-11-26,0,6.5,0.0,17.0,0,0,6.6,0.0,22.8,0,0,6.4,0.0,24.1,0,0,6.4,0.0,25.8,0,0,6.5,0.0,26.3,0,0,6.6,0.0,23.7,0,0,6.9,0.0,24.8,0,0,7.0,0.0,25.9,0,0
2025-11-27,1,3.0,0.0,57.9,0,0,2.9,0.07,57.9,0,0,1.8,0.14,66.2,0,0,2.0,0.07,57.8,0,0,1.8,0.07,56.3,0,0,1.4,0.14,57.6,0,0,1.5,0.07,58.3,0,0,0.9,0.28,55.5,0,0
2025-11-28,1,0.5,0.07,48.5,0,0,0.7,0.0,53.7,0,0,0.4,0.28,52.6,0,0,0.3,0.35,52.0,0,0,0.3,0.14,51.6,0,0,0.6,0.49,54.0,0,0,-0.4,0.21,53.8,0,0,0.5,0.28,54.6,0,0
2025-12-01,0,-1.9,0.07,39.7,0,0,-2.3,0.0,33.7,0,0,-2.5,0.0,29.3,0,0,-2.5,0.0,25.0,0,0,-2.4,0.0,20.6,0,0,-2.4,0.0,16.8,0,0,-2.2,0.0,14.9,0,0,-2.2,0.0,16.5,0,0
2025-12-02,0,-1.0,0.21,31.7,0,0,-1.4,0.21,28.7,0,0,-1.3,0.21,27.4,0,0,-0.9,0.07,25.2,0,0,-0.9,0.0,22.5,0,0,-0.8,0.0,20.6,0,0,-0.8,0.07,19.2,0,0,-0.8,0.07,20.9,0,0
2025-12-03,0,0.3,0.0,35.4,0,0,0.1,0.0,36.3,0,0,0.2,0.0,40.8,0,0,0.2,0.0,46.2,0,0,0.1,0.0,45.9,0,0,-0.1,0.0,47.1,0,0,-0.5,0.07,47.1,0,0,-0.1,0.21,47.5,0,0
2025-12-04,1,-2.6,0.14,41.7,0,0,-2.4,0.0,46.1,0,0,-3.3,0.07,45.8,0,0,-3.8,0.07,51.0,0,0,-4.4,0.07,54.4,0,0,-4.6,0.07,53.6,0,0,-4.7,0.07,52.8,0,0,-5.5,0.28,54.2,0,0
2025-12-05,0,-4.8,0.0,32.9,0,0,-4.8,0.0,37.4,0,0,-4.4,0.0,40.4,0,0,-4.2,0.0,42.7,0,0,-4.2,0.0,44.1,0,0,-3.9,0.0,45.0,0,0,-3.7,0.0,46.5,0,0,-3.3,0.0,46.1,0,0
2025-12-08,0,-4.5,0.0,38.1,0,0,-4.7,0.0,34.1,0,0,-4.9,0.0,30.4,0,0,-5.0,0.0,27.0,0,0,-5.0,0.0,23.6,0,0,-4.4,0.0,21.5,0,0,-4.4,0.0,19.3,0,0,-4.7,0.0,15.9,0,0
2025-12-09,0,-2.7,0.0,31.0,0,0,-2.5,0.0,31.9,0,0,-2.3,0.0,36.5,0,0,-1.6,0.0,40.4,0,0,-1.3,0.0,41.6,0,0,-1.1,0.0,43.6,0,0,-1.2,0.0,44.8,0,0,-0.8,0.0,47.7,0,0
2025-12-10,1,-1.4,0.0,20.3,0,0,-1.2,0.0,15.0,0,0,-1.2,0.0,7.7,0,0,-1.2,0.0,3.1,0,0,-1.2,0.14,12.6,0,0,-1.0,0.35,20.1,0,0,-0.8,0.98,27.8,0,0,-0.6,1.12,32.4,0,0
2025-12-11,1,-5.1,0.21,37.6,0,0,-5.2,0.07,33.3,0,0,-5.6,0.21,32.1,0,0,-5.1,0.07,35.0,0,0,-5.2,0.21,40.7,0,0,-5.0,0.14,42.5,0,0,-5.2,0.14,45.6,0,0,-5.1,0.07,43.9,0,0
2025-12-12,0,-3.4,0.0,26.3,0,0,-3.4,0.0,24.5,0,0,-3.1,0.0,25.8,0,0,-2.9,0.0,27.1,0,0,-3.0,0.0,30.3,0,0,-3.2,0.0,31.3,0,0,-2.9,0.0,31.3,0,0,-2.5,0.0,31.8,0,0
2025-12-15,0,-4.4,0.0,26.3,0,0,-4.0,0.0,27.9,0,0,-3.9,0.0,29.3,0,0,-3.5,0.0,34.0,0,0,-3.5,0.0,33.9,0,0,-3.3,0.0,32.8,0,0,-3.1,0.0,34.4,0,0,-2.9,0.0,35.4,0,0
